#Wavelength(Ang.A)  F_lambda(10^-12ergs/s/cm^2/A)
1150.58   21.85
1152.26   19.89
1153.93   17.94
1155.61   16.33
1157.29   15.29
1158.96   14.25
1160.64   13.56
1162.31   13.44
1163.99   13.31
1165.67   13.06
1167.34   12.60
1169.02   12.15
1170.70   11.68
1172.37   11.20
1174.05   10.73
1175.73   10.56
1177.40   10.78
1179.08   11.01
1180.75   11.06
1182.43   10.90
1184.11   10.74
1185.78   10.18
1187.46   9.161
1189.14   8.146
1190.81   7.256
1192.49   6.498
1194.17   5.741
1195.84   5.219
1197.52   4.932
1199.19   4.644
1200.87   4.109
1202.55   3.346
1204.22   2.584
1205.90   2.001
1207.58   1.574
1209.25   1.148
1210.93   0.9378
1212.60   0.9026
1214.28   0.8674
1215.96   1.085
1217.63   1.492
1219.31   1.899
1220.99   2.477
1222.66   3.174
1224.34   3.872
1226.02   4.652
1227.69   5.486
1229.37   6.320
1231.04   7.152
1232.72   7.984
1234.40   8.816
1236.07   9.509
1237.75   10.12
1239.43   10.74
1241.10   11.02
1242.78   11.13
1244.46   11.23
1246.13   11.28
1247.81   11.30
1249.48   11.32
1251.16   11.22
1252.84   11.08
1254.51   10.93
1256.19   10.57
1257.87   10.13
1259.54   9.690
1261.22   9.670
1262.89   9.808
1264.57   9.946
1266.25   10.35
1267.92   10.84
1269.60   11.33
1271.28   11.43
1272.95   11.41
1274.63   11.39
1276.31   11.55
1277.98   11.75
1279.66   11.95
1281.33   12.03
1283.01   12.08
1284.69   12.13
1286.36   11.88
1288.04   11.56
1289.72   11.24
1291.39   10.73
1293.07   10.17
1294.75   9.605
1296.42   9.142
1298.10   8.696
1299.77   8.251
1301.45   8.062
1303.13   7.914
1304.80   7.766
1306.48   8.178
1308.16   8.663
1309.83   9.149
1311.51   9.927
1313.19   10.74
1314.86   11.55
1316.54   11.72
1318.21   11.82
1319.89   11.93
1321.57   11.64
1323.24   11.32
1324.92   11.01
1326.60   10.69
1328.27   10.36
1329.95   10.04
1331.62   9.907
1333.30   9.779
1334.98   9.651
1336.65   10.07
1338.33   10.49
1340.01   10.91
1341.68   11.09
1343.36   11.26
1345.04   11.43
1346.71   11.34
1348.39   11.25
1350.06   11.16
1351.74   11.12
1353.42   11.07
1355.09   11.03
1356.77   10.92
1358.45   10.81
1360.12   10.69
1361.80   10.50
1363.48   10.31
1365.15   10.14
1366.83   10.15
1368.50   10.16
1370.18   10.17
1371.86   10.21
1373.53   10.24
1375.21   10.27
1376.89   10.21
1378.56   10.16
1380.24   10.11
1381.91   10.12
1383.59   10.12
1385.27   10.11
1386.94   10.03
1388.62   9.948
1390.30   9.858
1391.97   9.720
1393.65   9.582
1395.33   9.477
1397.00   9.511
1398.68   9.544
1400.35   9.560
1402.03   9.509
1403.71   9.459
1405.38   9.405
1407.06   9.339
1408.74   9.272
1410.41   9.219
1412.09   9.206
1413.77   9.193
1415.44   9.204
1417.12   9.282
1418.79   9.360
1420.47   9.438
1422.15   9.516
1423.82   9.595
1425.50   9.640
1427.18   9.608
1428.85   9.577
1430.53   9.546
1432.20   9.515
1433.88   9.484
1435.56   9.501
1437.23   9.612
1438.91   9.722
1440.59   9.822
1442.26   9.900
1443.94   9.978
1445.62   10.04
1447.29   10.08
1448.97   10.12
1450.64   10.16
1452.32   10.20
1454.00   10.24
1455.67   10.23
1457.35   10.17
1459.03   10.12
1460.70   10.04
1462.38   9.945
1464.06   9.849
1465.73   9.785
1467.41   9.761
1469.08   9.738
1470.76   9.716
1472.44   9.696
1474.11   9.677
1475.79   9.650
1477.47   9.615
1479.14   9.580
1480.82   9.538
1482.50   9.489
1484.17   9.439
1485.85   9.480
1487.52   9.609
1489.20   9.737
1490.88   9.815
1492.55   9.847
1494.23   9.879
1495.91   9.848
1497.58   9.764
1499.26   9.680
1500.93   9.546
1502.61   9.372
1504.29   9.199
1505.96   9.044
1507.64   8.903
1509.32   8.761
1510.99   8.699
1512.67   8.691
1514.35   8.682
1516.02   8.712
1517.70   8.766
1519.37   8.819
1521.05   8.778
1522.73   8.681
1524.40   8.583
1526.08   8.487
1527.76   8.391
1529.43   8.295
1531.11   8.300
1532.79   8.357
1534.46   8.414
1536.14   8.490
1537.81   8.575
1539.49   8.661
1541.17   8.717
1542.84   8.762
1544.52   8.806
1546.20   8.802
1547.87   8.778
1549.55   8.754
1551.22   8.688
1552.90   8.606
1554.58   8.524
1556.25   8.416
1557.93   8.298
1559.61   8.181
1561.28   8.181
1562.96   8.217
1564.64   8.254
1566.31   8.281
1567.99   8.306
1569.66   8.331
1571.34   8.340
1573.02   8.345
1574.69   8.349
1576.37   8.332
1578.05   8.310
1579.72   8.288
1581.40   8.329
1583.08   8.382
1584.75   8.435
1586.43   8.391
1588.10   8.331
1589.78   8.270
1591.46   8.213
1593.13   8.157
1594.81   8.101
1596.49   8.039
1598.16   7.976
1599.84   7.913
1601.52   7.844
1603.19   7.775
1604.87   7.705
1606.54   7.643
1608.22   7.581
1609.90   7.519
1611.57   7.594
1613.25   7.678
1614.93   7.762
1616.60   7.794
1618.28   7.823
1619.95   7.853
1621.63   7.830
1623.31   7.806
1624.98   7.782
1626.66   7.749
1628.34   7.717
1630.01   7.685
1631.69   7.621
1633.37   7.558
1635.04   7.495
1636.72   7.443
1638.39   7.391
1640.07   7.341
1641.75   7.339
1643.42   7.337
1645.10   7.335
1646.78   7.313
1648.45   7.292
1650.13   7.266
1651.81   7.183
1653.48   7.101
1655.16   7.025
1656.83   7.011
1658.51   6.998
1660.19   6.989
1661.86   7.016
1663.54   7.044
1665.22   7.065
1666.89   7.043
1668.57   7.021
1670.24   7.012
1671.92   7.082
1673.60   7.152
1675.27   7.217
1676.95   7.258
1678.63   7.299
1680.30   7.329
1681.98   7.311
1683.66   7.292
1685.33   7.272
1687.01   7.243
1688.68   7.215
1690.36   7.187
1692.04   7.162
1693.71   7.138
1695.39   7.114
1697.07   7.093
1698.74   7.072
1700.42   7.038
1702.10   6.969
1703.77   6.900
1705.45   6.831
1707.12   6.765
1708.80   6.699
1710.48   6.636
1712.15   6.582
1713.83   6.527
1715.51   6.472
1717.18   6.413
1718.86   6.354
1720.54   6.320
1722.21   6.340
1723.89   6.359
1725.56   6.391
1727.24   6.448
1728.92   6.505
1730.59   6.551
1732.27   6.578
1733.95   6.605
1735.62   6.628
1737.30   6.644
1738.97   6.661
1740.65   6.670
1742.33   6.669
1744.00   6.667
1745.68   6.667
1747.36   6.667
1749.03   6.668
1750.71   6.670
1752.39   6.675
1754.06   6.679
1755.74   6.653
1757.41   6.588
1759.09   6.522
1760.77   6.476
1762.44   6.452
1764.12   6.428
1765.80   6.433
1767.47   6.468
1769.15   6.504
1770.83   6.505
1772.50   6.470
1774.18   6.436
1775.85   6.440
1777.53   6.482
1779.21   6.523
1780.88   6.503
1782.56   6.428
1784.24   6.353
1785.91   6.190
1787.59   5.954
1789.26   5.718
1790.94   5.681
1792.62   5.799
1794.29   5.918
1795.97   6.073
1797.65   6.255
1799.32   6.437
1801.00   6.491
1802.68   6.459
1804.35   6.427
1806.03   6.397
1807.70   6.369
1809.38   6.340
1811.06   6.334
1812.73   6.340
1814.41   6.346
1816.09   6.352
1817.76   6.357
1819.44   6.363
1821.12   6.350
1822.79   6.328
1824.47   6.305
1826.14   6.266
1827.82   6.219
1829.50   6.172
1831.17   6.148
1832.85   6.134
1834.53   6.119
1836.20   6.074
1837.88   6.016
1839.55   5.958
1841.23   5.915
1842.91   5.876
1844.58   5.838
1846.26   5.798
1847.94   5.757
1849.61   5.717
1851.29   5.664
1852.97   5.608
1854.64   5.552
1856.32   5.545
1857.99   5.552
1859.67   5.558
1861.35   5.611
1863.02   5.675
1864.70   5.739
1866.38   5.797
1868.05   5.853
1869.73   5.910
1871.41   5.924
1873.08   5.931
1874.76   5.938
1876.43   5.889
1878.11   5.831
1879.79   5.773
1881.46   5.702
1883.14   5.630
1884.82   5.557
1886.49   5.499
1888.17   5.442
1889.85   5.385
1891.52   5.384
1893.20   5.388
1894.87   5.393
1896.55   5.414
1898.23   5.437
1899.90   5.459
1901.58   5.434
1903.26   5.405
1904.93   5.376
1906.61   5.359
1908.28   5.343
1909.96   5.327
1911.64   5.299
1913.31   5.271
1914.99   5.243
1916.67   5.201
1918.34   5.159
1920.02   5.117
1921.70   5.080
1923.37   5.044
1925.05   5.010
1926.72   5.064
1928.40   5.119
1931.06   5.194
1933.72   5.254
1936.39   5.281
1939.05   5.278
1941.71   5.281
1944.37   5.288
1947.04   5.268
1949.70   5.240
1952.36   5.204
1955.03   5.167
1957.69   5.095
1960.35   5.029
1963.01   5.010
1965.68   4.984
1968.34   4.934
1971.00   4.940
1973.66   5.035
1976.33   5.087
1978.99   5.097
1981.65   5.084
1984.31   5.058
1986.98   5.024
1989.64   4.988
1992.30   4.912
1994.97   4.830
1997.63   4.824
2000.29   4.821
2002.95   4.831
2005.62   4.822
2008.28   4.754
2010.94   4.745
2013.60   4.845
2016.27   4.918
2018.93   4.962
2021.59   4.952
2024.25   4.908
2026.92   4.870
2029.58   4.835
2032.24   4.820
2034.91   4.809
2037.57   4.788
2040.23   4.764
2042.89   4.708
2045.56   4.661
2048.22   4.642
2050.88   4.627
2053.54   4.617
2056.21   4.582
2058.87   4.517
2061.53   4.492
2064.19   4.495
2066.86   4.567
2069.52   4.668
2072.18   4.707
2074.85   4.731
2077.51   4.707
2080.17   4.681
2082.83   4.677
2085.50   4.679
2088.16   4.708
2090.82   4.705
2093.48   4.633
2096.15   4.553
2098.81   4.464
2101.47   4.439
2104.13   4.467
2106.80   4.466
2109.46   4.452
2112.12   4.476
2114.79   4.510
2117.45   4.475
2120.11   4.433
2122.77   4.390
2125.44   4.373
2128.10   4.481
2130.76   4.535
2133.42   4.452
2136.09   4.364
2138.75   4.269
2141.41   4.221
2144.07   4.212
2146.74   4.187
2149.40   4.153
2152.06   4.156
2154.73   4.170
2157.39   4.208
2160.05   4.247
2162.71   4.147
2165.38   4.058
2168.04   4.038
2170.70   4.020
2173.36   4.010
2176.03   3.977
2178.69   3.908
2181.35   3.876
2184.01   3.880
2186.68   3.912
2189.34   3.960
2192.00   3.986
2194.67   4.005
2197.33   4.044
2199.99   4.086
2202.65   4.023
2205.32   3.955
2207.98   3.848
2210.64   3.762
2213.30   3.747
2215.97   3.736
2218.63   3.735
2221.29   3.698
2223.95   3.623
2226.62   3.610
2229.28   3.638
2231.94   3.627
2234.61   3.601
2237.27   3.612
2239.93   3.630
2242.59   3.584
2245.26   3.544
2247.92   3.568
2250.58   3.602
2253.24   3.670
2255.91   3.700
2258.57   3.655
2261.23   3.599
2263.90   3.529
2266.56   3.503
2269.22   3.507
2271.88   3.536
2274.55   3.574
2277.21   3.617
2279.87   3.661
2282.53   3.598
2285.20   3.532
2287.86   3.503
2290.52   3.484
2293.18   3.503
2295.85   3.521
2298.51   3.535
2301.17   3.553
2303.83   3.576
2306.50   3.569
2309.16   3.539
2311.82   3.543
2314.49   3.563
2317.15   3.519
2319.81   3.461
2322.47   3.429
2325.14   3.399
2327.80   3.368
2330.46   3.344
2333.12   3.356
2335.79   3.356
2338.45   3.329
2341.11   3.310
2343.77   3.300
2346.44   3.286
2349.10   3.269
2351.76   3.250
2354.43   3.231
2357.09   3.252
2359.75   3.283
2362.41   3.242
2365.08   3.193
2367.74   3.177
2370.40   3.170
2373.06   3.216
2375.73   3.245
2378.39   3.226
2381.05   3.200
2383.71   3.161
2386.38   3.110
2389.04   3.045
2391.70   3.041
2394.37   3.071
2397.03   3.139
2399.69   3.220
2402.35   3.204
2405.02   3.175
2407.68   3.091
2410.34   3.013
2413.00   2.978
2415.67   2.971
2418.33   3.044
2420.99   3.097
2423.66   3.118
2426.32   3.156
2428.98   3.210
2431.64   3.204
2434.31   3.161
2436.97   3.123
2439.63   3.087
2442.29   3.118
2444.96   3.160
2447.62   3.193
2450.28   3.224
2452.94   3.239
2455.61   3.263
2458.27   3.316
2460.93   3.341
2463.59   3.314
2466.26   3.254
2468.92   3.158
2471.58   3.096
2474.25   3.057
2476.91   3.058
2479.57   3.076
2482.23   3.096
2484.90   3.116
2487.56   3.115
2490.22   3.108
2492.88   3.042
2495.55   3.007
2498.21   3.095
2500.87   3.164
2503.54   3.195
2506.20   3.198
2508.86   3.168
2511.52   3.142
2514.19   3.118
2516.85   3.110
2519.51   3.109
2522.17   3.093
2524.84   3.073
2527.50   3.045
2530.16   3.018
2532.82   3.022
2535.49   3.021
2538.15   3.003
2540.81   2.986
2543.48   2.974
2546.14   2.977
2548.80   3.000
2551.46   3.001
2554.13   2.985
2556.79   2.990
2559.45   3.004
2562.11   3.032
2564.78   3.064
2567.44   3.090
2570.10   3.116
2572.76   3.131
2575.43   3.118
2578.09   2.964
2580.75   2.841
2583.42   2.797
2586.08   2.811
2588.74   2.907
2591.40   2.986
2594.07   3.049
2596.73   3.071
2599.39   3.070
2602.05   3.019
2604.72   2.953
2607.38   2.967
2610.04   2.990
2612.70   3.025
2615.37   3.054
2618.03   3.046
2620.69   3.037
2623.35   3.024
2626.02   3.002
2628.68   2.967
2631.34   2.969
2634.01   3.007
2636.67   3.040
2639.33   3.071
2641.99   3.082
2644.66   3.087
2647.32   3.086
2649.98   3.084
2652.64   3.095
2655.31   3.098
2657.97   3.042
2660.63   2.990
2663.30   2.949
2665.96   2.913
2668.62   2.888
2671.28   2.873
2673.95   2.869
2676.61   2.899
2679.27   2.950
2681.93   2.973
2684.60   2.984
2687.26   2.976
2689.92   2.965
2692.58   2.907
2695.25   2.852
2697.91   2.841
2700.57   2.840
2703.24   2.873
2705.90   2.889
2708.56   2.872
2711.22   2.849
2713.89   2.820
2716.55   2.803
2719.21   2.794
2721.87   2.776
2724.54   2.753
2727.20   2.774
2729.86   2.803
2732.52   2.828
2735.19   2.851
2737.85   2.859
2740.51   2.852
2743.18   2.786
2745.84   2.737
2748.50   2.725
2751.16   2.707
2753.83   2.682
2756.49   2.668
2759.15   2.663
2761.81   2.678
2764.48   2.702
2767.14   2.687
2769.80   2.662
2772.46   2.652
2775.13   2.645
2777.79   2.656
2780.45   2.658
2783.12   2.616
2785.78   2.582
2788.44   2.569
2791.10   2.592
2793.77   2.666
2796.43   2.680
2799.09   2.641
2801.75   2.611
2804.42   2.585
2807.08   2.596
2809.74   2.617
2812.40   2.642
2815.07   2.669
2817.73   2.729
2820.39   2.777
2823.06   2.756
2825.72   2.721
2828.38   2.651
2831.04   2.592
2833.71   2.551
2836.37   2.548
2839.03   2.582
2841.69   2.598
2844.36   2.603
2847.02   2.586
2849.68   2.562
2852.34   2.540
2855.01   2.518
2857.67   2.527
2860.33   2.539
2863.00   2.568
2865.66   2.597
2868.32   2.622
2870.98   2.630
2873.65   2.611
2876.31   2.588
2878.97   2.561
2881.63   2.555
2884.30   2.564
2886.96   2.545
2889.62   2.516
2892.28   2.536
2894.95   2.564
2897.61   2.590
2900.27   2.612
2902.94   2.602
2905.60   2.590
2908.26   2.576
2910.92   2.567
2913.59   2.570
2916.25   2.569
2918.91   2.563
2921.57   2.560
2924.24   2.559
2926.90   2.544
2929.56   2.524
2932.22   2.526
2934.89   2.533
2937.55   2.516
2940.21   2.502
2942.88   2.532
2945.54   2.551
2948.20   2.525
2950.86   2.514
2953.53   2.533
2956.19   2.550
2958.85   2.566
2961.51   2.550
2964.18   2.511
2966.84   2.497
2969.50   2.494
2972.16   2.491
2974.83   2.488
2977.49   2.494
2980.15   2.498
2982.82   2.456
2985.48   2.421
2988.14   2.415
2990.80   2.413
2993.47   2.418
2996.13   2.432
2998.79   2.458
3001.45   2.457
3004.12   2.433
3006.78   2.425
3009.44   2.425
3012.10   2.396
3014.77   2.360
3017.43   2.340
3020.09   2.323
3022.76   2.327
3025.42   2.328
3028.08   2.312
3030.74   2.298
3033.41   2.291
3036.07   2.292
3038.73   2.307
3041.39   2.318
3044.06   2.325
3046.72   2.329
3049.38   2.333
3052.04   2.337
3054.71   2.341
3057.37   2.318
3060.03   2.292
3062.70   2.256
3065.36   2.225
3068.02   2.225
3070.68   2.226
3073.35   2.232
3076.01   2.251
3078.67   2.289
3081.33   2.313
3084.00   2.324
3086.66   2.315
3089.32   2.292
3091.98   2.304
3094.65   2.329
3097.31   2.294
3099.97   2.251
3102.64   2.248
3105.30   2.245
3107.96   2.230
3110.62   2.224
3113.29   2.250
3115.95   2.271
3118.61   2.284
3121.27   2.303
3123.94   2.328
3126.60   2.327
3129.26   2.309
3131.92   2.284
3134.59   2.256
3137.25   2.269
3139.91   2.289
3142.58   2.242
3145.24   2.198
3147.90   2.201
3150.56   2.204
3153.23   2.211
3155.89   2.208
3158.55   2.190
3161.21   2.183
3163.88   2.190
3166.54   2.195
3169.20   2.197
3171.86   2.206
3174.53   2.218
3177.19   2.198
3179.85   2.172
3182.52   2.175
3185.18   2.179
3187.84   2.180
3190.50   2.184
3193.17   2.200
3195.83   2.214
3198.49   2.225
3201.15   2.233
3203.82   2.238
3206.48   2.240
3209.14   2.240
3211.80   2.229
3214.47   2.214
3217.13   2.194
3219.79   2.174
3222.46   2.160
3225.12   2.147
3227.78   2.148
3230.44   2.151
3233.11   2.167
3235.77   2.180
3238.43   2.183
3240.04   2.184
3242.79   2.151
3245.54   2.119
3248.28   2.086
3251.03   2.067
3253.77   2.071
3256.52   2.086
3259.27   2.109
3262.01   2.127
3264.76   2.143
3267.50   2.143
3270.25   2.141
3273.00   2.122
3275.74   2.103
3278.49   2.085
3281.23   2.075
3283.98   2.074
3286.73   2.078
3289.47   2.084
3292.22   2.083
3294.96   2.082
3297.71   2.073
