#Wavelength(Ang.A)  F_lambda(10^-12ergs/s/cm^2/A)
1150.58   5.796
1152.26   7.228
1153.94   9.029
1155.61   10.32
1157.29   10.06
1158.97   10.62
1160.64   10.79
1162.32   10.68
1163.99   10.93
1165.67   10.38
1167.35   10.74
1169.02   10.72
1170.70   9.886
1172.38   9.772
1174.05   10.09
1175.73   9.881
1177.41   10.38
1179.08   10.13
1180.76   10.28
1182.43   10.37
1184.11   10.13
1185.79   9.553
1187.46   8.976
1189.14   8.055
1190.82   7.564
1192.49   6.998
1194.17   6.513
1195.85   6.087
1197.52   5.558
1199.20   5.062
1200.87   4.457
1202.55   3.702
1204.23   2.920
1205.90   2.159
1207.58   1.436
1209.26   0.9592
1210.93   0.5740
1212.61   0.3838
1214.29   0.2746
1215.96   0.2199
1217.64   0.3072
1219.32   0.5340
1220.99   0.9400
1222.67   1.494
1224.34   2.231
1226.02   3.129
1227.70   4.057
1229.37   4.942
1231.05   6.103
1232.73   7.215
1234.40   8.221
1236.08   9.224
1237.76   9.855
1239.43   10.62
1241.11   11.34
1242.78   11.61
1244.46   11.73
1246.14   11.87
1247.81   11.97
1249.49   12.27
1251.17   12.17
1252.84   12.22
1254.52   12.09
1256.20   11.89
1257.87   11.67
1259.55   11.46
1261.22   11.14
1262.90   11.28
1264.58   11.32
1266.25   11.59
1267.93   11.97
1269.61   12.43
1271.28   12.42
1272.96   12.79
1274.64   13.07
1276.31   13.19
1277.99   13.49
1279.67   13.66
1281.34   13.94
1283.02   14.46
1284.69   14.53
1286.37   14.26
1288.05   14.46
1289.72   14.23
1291.40   14.10
1293.08   13.77
1294.75   13.31
1296.43   13.14
1298.11   12.67
1299.78   11.83
1301.46   11.31
1303.13   11.28
1304.81   10.98
1306.49   11.15
1308.16   11.45
1309.84   12.39
1311.52   13.55
1313.19   14.48
1314.87   14.65
1316.55   15.02
1318.22   15.26
1319.90   15.36
1321.57   15.24
1323.25   15.06
1324.93   14.67
1326.60   14.80
1328.28   14.55
1329.96   13.93
1331.63   13.40
1333.31   13.24
1334.99   13.19
1336.66   13.71
1338.34   13.72
1340.01   14.59
1341.69   15.18
1343.37   15.92
1345.04   16.00
1346.72   15.63
1348.40   15.43
1350.07   15.55
1351.75   15.56
1353.43   15.59
1355.10   15.15
1356.78   15.11
1358.46   15.46
1360.13   15.37
1361.81   15.19
1363.48   14.90
1365.16   14.86
1366.84   15.00
1368.51   15.18
1370.19   15.31
1371.87   15.50
1373.54   15.48
1375.22   15.47
1376.90   15.74
1378.57   15.74
1380.25   15.75
1381.92   15.36
1383.60   15.00
1385.28   15.01
1386.95   14.69
1388.63   14.26
1390.31   14.05
1391.98   13.99
1393.66   14.32
1395.34   14.55
1397.01   14.56
1398.69   14.53
1400.36   14.76
1402.04   14.91
1403.72   14.80
1405.39   14.83
1407.07   14.63
1408.75   14.79
1410.42   14.88
1412.10   14.59
1413.78   14.82
1415.45   14.83
1417.13   14.78
1418.81   14.86
1420.48   14.83
1422.16   15.06
1423.83   15.71
1425.51   15.86
1427.19   15.98
1428.86   15.77
1430.54   15.87
1432.22   16.06
1433.89   16.04
1435.57   15.68
1437.25   15.40
1438.92   15.12
1440.60   15.26
1442.27   15.29
1443.95   15.18
1445.63   15.24
1447.30   15.29
1448.98   15.25
1450.66   15.48
1452.33   15.52
1454.01   15.78
1455.69   15.52
1457.36   15.17
1459.04   14.98
1460.71   14.98
1462.39   14.87
1464.07   14.76
1465.74   14.53
1467.42   14.69
1469.10   14.65
1470.77   14.52
1472.45   14.46
1474.13   14.43
1475.80   14.51
1477.48   14.38
1479.16   14.00
1480.83   13.77
1482.51   13.84
1484.18   13.67
1485.86   13.87
1487.54   13.81
1489.21   13.76
1490.89   13.82
1492.57   14.21
1494.24   14.43
1495.92   14.67
1497.60   14.58
1499.27   14.56
1500.95   14.36
1502.62   14.57
1504.30   14.20
1505.98   13.59
1507.65   13.14
1509.33   12.70
1511.01   12.28
1512.68   12.13
1514.36   12.06
1516.04   12.29
1517.71   12.76
1519.39   12.96
1521.06   12.96
1522.74   13.16
1524.42   13.51
1526.09   13.47
1527.77   13.24
1529.45   13.00
1531.12   12.95
1532.80   13.08
1534.48   13.16
1536.15   12.88
1537.83   12.84
1539.50   12.98
1541.18   12.95
1542.86   12.91
1544.53   13.13
1546.21   13.11
1547.89   13.34
1549.56   13.23
1551.24   13.25
1552.92   13.22
1554.59   13.08
1556.27   12.81
1557.95   12.63
1559.62   12.45
1561.30   12.43
1562.97   12.17
1564.65   12.07
1566.33   12.12
1568.00   12.12
1569.68   12.12
1571.36   12.14
1573.03   12.08
1574.71   12.36
1576.39   12.58
1578.06   12.73
1579.74   13.06
1581.41   13.07
1583.09   12.98
1584.77   12.93
1586.44   12.84
1588.12   12.91
1589.80   12.87
1591.47   12.67
1593.15   12.62
1594.83   12.54
1596.50   12.42
1598.18   12.25
1599.85   12.00
1601.53   11.84
1603.21   11.69
1604.88   11.75
1606.56   11.62
1608.24   11.62
1609.91   11.70
1611.59   11.92
1613.27   12.10
1614.94   12.19
1616.62   12.12
1618.30   12.47
1619.97   12.67
1621.65   12.62
1623.32   12.37
1625.00   12.25
1626.68   12.27
1628.35   12.38
1630.03   12.29
1631.71   12.44
1633.38   12.35
1635.06   12.54
1636.74   12.45
1638.41   12.23
1640.09   12.23
1641.76   12.29
1643.44   12.13
1645.12   12.22
1646.79   12.06
1648.47   12.14
1650.15   12.12
1651.82   11.92
1653.50   11.57
1655.18   11.41
1656.85   11.42
1658.53   11.40
1660.20   11.46
1661.88   11.66
1663.56   11.82
1665.23   11.88
1666.91   11.97
1668.59   11.89
1670.26   11.93
1671.94   11.70
1673.62   11.43
1675.29   11.30
1676.97   11.45
1678.65   11.64
1680.32   11.84
1682.00   11.91
1683.67   12.02
1685.35   12.10
1687.03   12.04
1688.70   11.84
1690.38   11.44
1692.06   11.12
1693.73   11.11
1695.41   11.06
1697.09   11.11
